label,num_images
1,35
2,35
3,33
4,35
5,19
6,16
7,28
8,23
9,34
10,34
11,33
12,31
13,33
14,33
15,33
16,33
17,32
18,20
19,32
20,32
21,32
22,31
23,32
24,27
25,31
26,31
27,31
28,31
29,31
30,31
31,30
32,28
33,30
34,30
35,30
36,30
37,30
38,29
39,29
40,29
41,29
42,29
43,29
44,29
45,28
46,28
47,28
48,28
49,28
50,28
51,27
52,27
53,27
54,27
55,27
56,27
57,27
58,26
59,26
60,26
61,26
62,26
63,26
64,26
65,25
66,25
67,25
68,25
69,25
70,25
71,24
72,24
73,24
74,24
75,24
76,24
77,24
78,23
79,23
80,23
81,23
82,23
83,23
84,22
85,22
86,22
87,22
88,22
89,22
90,22
91,21
92,21
93,21
94,21
95,21
96,21
97,21
98,20
99,20
100,20
101,20
102,20
103,20
104,19
105,19
106,19
107,19
108,19
109,19
110,19
111,18
112,18
113,18
114,18
115,18
116,18
117,18
118,17
119,17
120,17
121,17
122,17
123,17
124,16
125,16
126,16
127,16
128,16
129,16
130,16
131,15
132,15
133,15
134,15
135,15
136,15
137,15
138,14
139,14
140,14
141,14
142,14
143,14
144,13
145,13
146,13
147,13
148,13
149,13
150,13
151,12
152,12
153,12
154,12
155,12
156,12
157,11
158,11
159,11
160,11
161,11
162,11
163,11
164,10
165,10
166,10
167,10
168,10
169,10
170,10
171,9
172,9
173,9
174,9
175,9
176,9
177,8
178,8
179,8
180,8
181,8
182,8
183,8
184,7
185,7
186,7
187,7
188,7
189,7
190,7
191,6
192,6
193,6
194,6
195,6
196,6
197,5
198,5
199,5
200,5
